ID_REF,GSM546233,GSM546234,GSM546235,GSM546236
10338271,2.84004,2.98547,3.28706,2.77954
10338272,3.14188,3.26914,4.16756,3.46184
10338273,6.32473,5.78232,5.95034,5.93686
10338274,2.85422,2.91849,2.72565,2.39222
10338275,5.14218,5.66119,4.7777,5.33736
10338276,2.95001,2.04103,3.04119,3.05008
10338277,5.1569,4.05359,4.20552,3.94992
10338278,3.26418,2.58615,3.18991,3.52
10338279,3.78188,3.07719,4.24196,4.00635
10338280,5.89278,6.05987,6.43054,6.28274
10338281,3.08854,3.46738,3.2613,3.14068
10338282,5.946,6.25301,5.93347,5.84493
10338283,6.72841,6.70292,7.50278,7.13191
10338284,2.72537,2.61185,2.21463,2.6433
10338285,3.16213,2.7079,2.37264,2.24034
10338286,8.01464,8.11641,8.32574,8.23681
10338287,4.46554,4.57801,4.78319,4.26866
10338288,2.883,1.85523,3.03159,2.49693
10338289,2.06906,2.56352,2.44387,3.1718
10338290,2.97169,3.76615,3.30155,3.62672
10338291,2.84279,2.31994,3.09452,2.18522
10338292,8.78478,9.01319,8.46443,8.5186
10338293,3.51437,3.17502,3.18867,4.0825
10338294,4.62249,5.03535,4.40352,4.80493
10338295,7.36336,7.2437,7.23392,7.13867
10338296,2.24942,1.74755,2.37457,1.64743
10338297,3.85342,3.84509,3.52663,3.7466
10338298,9.49216,9.44877,9.49981,9.57865
10338299,2.97108,3.30199,3.26161,2.72747
10338300,3.09165,2.71079,2.94309,2.56662
10338301,2.28837,2.37732,1.96457,2.03559
10338302,3.19311,2.31991,3.19149,3.15357
10338303,1.62296,2.07975,1.76628,1.35814
10338304,2.89441,2.27935,2.61061,2.21441
10338305,3.89976,3.4965,3.7871,3.65429
10338306,7.17941,7.31666,7.36173,7.34876
10338307,1.7303,1.91296,2.08064,1.57425
10338308,4.3239,4.07853,4.14932,3.63816
10338309,1.30148,1.48317,1.42795,1.55755
10338310,3.84659,3.59345,3.3208,3.86876
10338311,6.97432,6.75415,6.47759,7.00008
10338312,4.46303,5.28542,4.57187,5.20193
10338313,2.22468,2.63657,2.22968,1.64287
10338314,4.33412,4.3784,3.77868,4.19443
10338315,6.97425,6.89125,6.97542,6.607
10338316,3.82354,4.30412,4.33641,4.17895
10338317,7.98779,8.07507,8.44304,7.84097
10338318,3.55869,4.18296,3.72748,3.08853
10338319,4.81216,4.7284,3.87456,2.98658
10338320,5.71128,4.78271,4.21416,5.07105
10338321,2.79289,4.03014,4.03017,4.03528
10338322,5.77253,5.59491,5.69456,5.35082
10338323,2.30965,2.12922,2.05882,1.94364
10338324,3.15054,3.01521,3.48336,3.20487
10338325,5.36772,5.78376,4.93013,5.4381
10338326,5.99136,5.77214,4.82259,5.57451
10338327,6.58369,6.4204,6.56086,6.1238
10338328,1.49666,1.03266,1.45296,1.18301
10338329,1.95285,1.9841,2.11038,2.09182
10338330,3.02811,3.05584,3.56633,2.81227
10338331,3.05709,3.05639,2.69106,3.06085
10338332,2.3261,3.62302,3.12836,2.6159
10338333,1.70691,1.95804,2.25556,1.5131
10338334,4.69015,5.0678,4.73087,4.39413
10338335,2.03584,1.87992,2.4589,2.31803
10338336,1.60131,1.98605,1.48015,1.47613
10338337,2.15973,1.76857,1.78184,1.75595
10338338,1.47013,1.51014,1.70736,1.24539
10338339,7.54442,7.65414,7.69995,7.86065
10338340,3.82042,4.43234,3.25047,3.83571
10338341,3.07071,3.29764,3.00269,3.47382
10338342,1.34498,1.31805,1.57357,1.39796
10338343,1.15542,1.78225,1.17772,1.29579
10338344,8.29275,8.52386,8.26817,8.2861
10338345,2.92186,3.92564,2.49446,2.70753
10338346,4.67283,4.94147,4.31511,5.01581
10338347,5.51401,5.472,6.09155,6.53228
10338348,5.74223,5.18,4.89856,5.20971
10338349,4.30834,4.76895,5.51133,4.53881
10338350,4.5315,5.04177,4.51979,4.8637
10338351,2.41538,2.39459,2.76187,3.3969
10338352,3.54931,2.88418,2.95726,2.23544
10338353,3.70777,2.61642,3.35319,4.23917
10338354,5.71763,6.49991,6.1156,6.37706
10338355,3.32627,4.66851,3.21041,3.21041
10338356,4.76671,4.99187,4.72285,4.82264
