Run,patient
SRR2129733,MMRF_1824_1_BM_CD138pos_T2_TSMRU_L06651
SRR2128901,MMRF_1825_1_BM_CD138pos_T3_TSMRU_L05008
SRR2128902,MMRF_1830_1_BM_CD138pos_T3_TSMRU_L05009
SRR2128903,MMRF_1831_1_BM_CD138pos_T3_TSMRU_L05010
SRR2128904,MMRF_1832_1_BM_CD138pos_T2_TSMRU_L05249
SRR2129734,MMRF_1833_1_BM_CD138pos_T2_TSMRU_L05990
SRR2128905,MMRF_1835_1_BM_CD138pos_T2_TSMRU_L05250
SRR2128906,MMRF_1837_1_BM_CD138pos_T2_TSMRU_L05320
SRR2129736,MMRF_1839_1_BM_CD138pos_T2_TSMRU_L05991
SRR2128907,MMRF_1842_1_BM_CD138pos_T2_TSMRU_L05331
SRR2128908,MMRF_1845_1_BM_CD138pos_T2_TSMRU_L05321
SRR2128909,MMRF_1846_1_BM_CD138pos_T2_TSMRU_L05332
SRR2128910,MMRF_1847_1_BM_CD138pos_T2_TSMRU_L05333
SRR2129737,MMRF_1850_1_BM_CD138pos_T2_TSMRU_L05992
SRR2129738,MMRF_1851_1_BM_CD138pos_T2_TSMRU_L06638
SRR2128911,MMRF_1854_1_BM_CD138pos_T2_TSMRU_L05322
SRR2128912,MMRF_1855_1_BM_CD138pos_T2_TSMRU_L05323
SRR2128913,MMRF_1856_1_BM_CD138pos_T2_TSMRU_L05335
SRR2128914,MMRF_1857_1_BM_CD138pos_T2_TSMRU_L05324
SRR2128915,MMRF_1859_1_BM_CD138pos_T2_TSMRU_L05341
SRR2128916,MMRF_1860_1_BM_CD138pos_T2_TSMRU_L05325
SRR2129740,MMRF_1861_1_BM_CD138pos_T2_TSMRU_L06657
SRR2129741,MMRF_1862_1_BM_CD138pos_T2_TSMRU_L06653
SRR2128917,MMRF_1865_1_BM_CD138pos_T2_TSMRU_L05342
SRR2128918,MMRF_1867_1_BM_CD138pos_T2_TSMRU_L05326
SRR2128919,MMRF_1871_1_BM_CD138pos_T2_TSMRU_L05343
SRR2128920,MMRF_1876_1_BM_CD138pos_T2_TSMRU_L05327
