hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
PDXP	57026	ENSG00000241360-bioMart	20	10	BICR6|ES2|PC3|U251MG|A549|HT29|MCF7|AGS|YAPC|A375	30	11	U251MG|A549|HT29|AGS|SNU761|MCF7|YAPC|PC3|HS944T|BICR6|NA	NA	NA	NA
PDZD11	51248	ENSG00000120509-bioMart	NA	NA	NA	NA	NA	NA	2	2	A549|HCC1806
PEAK1	79834	ENSG00000173517	18	9	AGS|ES2|HT29|U251MG|A549|YAPC|BICR6|PC3|A375	20	1	NA	NA	NA	NA
PEBP1	5037	ENSG00000089220	NA	NA	NA	27	1	NA	NA	NA	NA
PECAM1	5175	ENSG00000261371-bioMart	18	9	HT29|ES2|A375|A549|U251MG|BICR6|YAPC|AGS|PC3	NA	NA	NA	NA	NA	NA
PECR	55825	ENSG00000115425	NA	NA	NA	88	15	YAPC|A549|A375|AGS|ES2|SNGM|MCF7|PC3|BICR6|HT29|DANG|KELLY|U251MG|LCLC103H|HCC1806	17	8	A375|DLD1|ES2|HT29|PC3|BICR6|U251MG|YAPC
PELI1	57162	ENSG00000197329	18	9	A375|PC3|YAPC|HT29|U251MG|BICR6|A549|ES2|AGS	NA	NA	NA	NA	NA	NA
PELO	53918	ENSG00000152684	18	9	A375|ES2|AGS|A549|PC3|U251MG|HT29|YAPC|BICR6	NA	NA	NA	NA	NA	NA
PELP1	27043	ENSG00000141456	42	18	KYSE30|IPC298|SNU761|A549|BICR6|A375|HS944T|ES2|YAPC|AGS|LCLC103H|PC3|DANG|U251MG|HCC1806|SNGM|HT29|KELLY	NA	NA	NA	NA	NA	NA
PEMT	10400	ENSG00000133027	NA	NA	NA	33	9	MCF7|AGS|U251MG|ES2|A375|PC3|A549|YAPC|NA	8	6	AGS|ES2|HT29|BICR6|A549|U251MG
PEPD	5184	ENSG00000124299	NA	NA	NA	52	14	ES2|LCLC103H|A549|PC3|A375|AGS|BICR6|DANG|HT29|KYSE30|YAPC|SNU761|U251MG|MCF7	9	8	ES2|HT29|A549|MCF7|YAPC|A375|U251MG|PC3
PER1	5187	ENSG00000179094	NA	NA	NA	8	7	ES2|A549|U251MG|HT29|SNGM|A375|AGS	10	9	U251MG|MCF7|SNGM|DANG|AGS|BICR6|YAPC|A375|A549
PER2	8864	ENSG00000132326	NA	NA	NA	90	15	ES2|YAPC|BICR6|HT29|A375|AGS|PC3|U251MG|A549|DANG|HCC1806|MCF7|SNGM|KELLY|SNU761	NA	NA	NA
PEX1	5189	ENSG00000127980	NA	NA	NA	10	7	HT29|A375|KELLY|ES2|YAPC|MCF7|PC3	NA	NA	NA
PEX11A	8800	ENSG00000166821	NA	NA	NA	39	12	A549|ES2|MCF7|HT29|U251MG|A375|HCC1806|YAPC|PC3|AGS|BICR6|DANG	9	7	BICR6|A549|U251MG|HCC1806|PC3|MCF7|A375
PEX12	5193	ENSG00000108733	NA	NA	NA	39	12	A549|HT29|ES2|U251MG|YAPC|PC3|MCF7|A375|HCC1806|HS944T|AGS|BICR6	NA	NA	NA
PEX13	5194	ENSG00000162928	NA	NA	NA	27	1	NA	8	6	BICR6|A549|A375|PC3|HT29|ES2
PEX19	5824	ENSG00000162735	NA	NA	NA	44	13	AGS|ES2|A375|U251MG|YAPC|PC3|KYSE30|HT29|BICR6|MCF7|LCLC103H|A549|SNU761	8	8	A549|HS944T|A375|AGS|HT29|BICR6|ES2|KELLY
PEX3	8504	ENSG00000034693	NA	NA	NA	NA	NA	NA	3	3	HT29|AGS|MCF7
