hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
CDKN1A	1026	ENSG00000124762	20	10	PC3|MCF7|YAPC|U251MG|HT29|BICR6|AGS|A375|ES2|A549	187	18	PC3|YAPC|AGS|A549|A375|ES2|HCC1806|HT29|MCF7|U251MG|BICR6|DANG|LCLC103H|HS944T|SNGM|KELLY|SNU761|NA	4	4	A375|AGS|MCF7|HT29
CDKN1B	1027	ENSG00000111276	44	19	YAPC|KELLY|LCLC103H|BICR6|U251MG|DANG|PC3|ES2|MCF7|IPC298|HS944T|AGS|A375|SNU761|A549|KYSE30|HT29|SNGM|HCC1806	30	11	BICR6|ES2|A375|U251MG|HT29|YAPC|AGS|MCF7|KELLY|PC3|A549	2	2	U251MG|PC3
CDKN1C	1028	ENSG00000129757	20	10	U251MG|MCF7|BICR6|HT29|ES2|A375|YAPC|PC3|A549|AGS	56	1	NA	8	6	A375|U251MG|A549|PC3|BICR6|ES2
CDKN2A	1029	ENSG00000147889	20	10	ES2|A375|YAPC|PC3|MCF7|AGS|BICR6|A549|HT29|U251MG	77	15	HCC1806|PC3|U251MG|ES2|A549|YAPC|BICR6|MCF7|A375|HT29|AGS|DANG|LCLC103H|SNU761|NA	11	7	A375|BICR6|A549|MCF7|ES2|PC3|AGS
CDKN2B	1030	ENSG00000147883	20	10	U251MG|AGS|PC3|MCF7|BICR6|A375|ES2|A549|HT29|YAPC	29	10	A375|U251MG|ES2|BICR6|HT29|PC3|AGS|A549|MCF7|NA	9	6	AGS|BICR6|U251MG|YAPC|A375|HT29
CDKN2C	1031	ENSG00000123080	20	10	HT29|U251MG|MCF7|ES2|PC3|YAPC|A549|BICR6|A375|AGS	30	12	A549|HT29|HS944T|AGS|BICR6|YAPC|A375|ES2|U251MG|MCF7|KELLY|PC3	9	6	U251MG|MCF7|ES2|PC3|YAPC|A375
CDO1	1036	ENSG00000129596	20	10	MCF7|U251MG|BICR6|A375|A549|PC3|HT29|YAPC|AGS|ES2	27	1	NA	NA	NA	NA
CDON	50937	ENSG00000064309	20	10	A375|AGS|A549|U251MG|BICR6|PC3|HT29|YAPC|MCF7|ES2	NA	NA	NA	NA	NA	NA
CDR2L	30850	ENSG00000109089	20	10	HT29|A375|A549|ES2|MCF7|U251MG|PC3|YAPC|AGS|BICR6	NA	NA	NA	NA	NA	NA
CDT1	81620	ENSG00000167513	NA	NA	NA	37	13	U251MG|YAPC|ES2|HT29|AGS|HS944T|A549|SNGM|BICR6|PC3|A375|LCLC103H|MCF7	1	1	ES2
CDX1	1044	ENSG00000113722	NA	NA	NA	32	11	MCF7|U251MG|LCLC103H|A549|PC3|BICR6|HS944T|A375|AGS|ES2|NA	9	7	HS944T|MCF7|YAPC|HT29|PC3|U251MG|IPC298
CDX2	1045	ENSG00000165556	20	10	A375|BICR6|HT29|A549|ES2|MCF7|YAPC|U251MG|PC3|AGS	22	10	PC3|A549|MCF7|HT29|IPC298|LCLC103H|A375|YAPC|BICR6|AGS	4	3	HT29|PC3|A549
CEACAM1	634	ENSG00000079385	20	10	YAPC|A549|HT29|MCF7|U251MG|ES2|AGS|A375|PC3|BICR6	38	13	U251MG|YAPC|HS944T|ES2|A375|DANG|A549|MCF7|LCLC103H|HCC1806|HT29|PC3|NA	9	8	ES2|MCF7|HS944T|AGS|YAPC|HT29|KELLY|PC3
CEACAM16	388551	bioMart	20	10	PC3|ES2|A375|A549|HT29|AGS|MCF7|U251MG|YAPC|BICR6	NA	NA	NA	NA	NA	NA
CEACAM18	729767	bioMart	20	10	A549|MCF7|ES2|HT29|A375|AGS|YAPC|BICR6|PC3|U251MG	NA	NA	NA	NA	NA	NA
CEACAM19	56971	bioMart	20	10	PC3|U251MG|AGS|YAPC|HT29|MCF7|A375|BICR6|ES2|A549	NA	NA	NA	NA	NA	NA
CEACAM20	125931	bioMart	20	10	MCF7|A375|U251MG|BICR6|ES2|A549|YAPC|HT29|AGS|PC3	NA	NA	NA	NA	NA	NA
CEACAM21	90273	ENSG00000007129	20	10	U251MG|MCF7|ES2|AGS|HT29|PC3|YAPC|A549|BICR6|A375	NA	NA	NA	NA	NA	NA
CEACAM3	1084	ENSG00000170956	20	10	MCF7|ES2|A375|PC3|HT29|AGS|U251MG|YAPC|BICR6|A549	NA	NA	NA	NA	NA	NA
CEACAM4	1089	ENSG00000105352	20	10	BICR6|U251MG|MCF7|PC3|ES2|AGS|YAPC|HT29|A549|A375	NA	NA	NA	NA	NA	NA
CEACAM5	1048	ENSG00000105388	20	10	HT29|BICR6|AGS|YAPC|A375|MCF7|A549|PC3|ES2|U251MG	NA	NA	NA	NA	NA	NA
CEACAM6	4680	ENSG00000086548	20	10	YAPC|A375|AGS|A549|HT29|PC3|MCF7|U251MG|ES2|BICR6	39	12	A375|ES2|PC3|KYSE30|IPC298|MCF7|A549|BICR6|U251MG|AGS|HT29|YAPC	4	2	U251MG|MCF7
CEACAM7	1087	ENSG00000007306	20	10	AGS|PC3|BICR6|HT29|ES2|MCF7|A375|U251MG|YAPC|A549	NA	NA	NA	NA	NA	NA
CEACAM8	1088	ENSG00000124469	20	10	ES2|PC3|AGS|HT29|A375|MCF7|A549|BICR6|U251MG|YAPC	NA	NA	NA	NA	NA	NA
CEBPA	1050	ENSG00000245848	NA	NA	NA	43	13	A375|ES2|A549|YAPC|AGS|BICR6|U251MG|MCF7|PC3|HT29|HS944T|KELLY|LCLC103H	8	7	A375|U251MG|HT29|MCF7|ES2|AGS|PC3
CEBPB	1051	ENSG00000172216	20	10	A549|A375|PC3|YAPC|MCF7|U251MG|HT29|BICR6|AGS|ES2	30	12	PC3|ES2|A549|SNU761|YAPC|A375|U251MG|BICR6|HT29|HCC1806|MCF7|HS944T	4	2	A549|U251MG
