ID	Geneid	hgnc_symbol	entrezgene_id	biotype
CTDSP2 (10106)	ENSG00000175215	CTDSP2	10106	protein_coding
ZNF891 (101060200)	ENSG00000214029	ZNF891	101060200	protein_coding
TRIM10 (10107)	ENSG00000204613	TRIM10	10107	protein_coding
ARPC2 (10109)	ENSG00000163466	ARPC2	10109	protein_coding
SGK2 (10110)	ENSG00000101049	SGK2	10110	protein_coding
RAD50 (10111)	ENSG00000113522	RAD50	10111	protein_coding
KIF20A (10112)	ENSG00000112984	KIF20A	10112	protein_coding
PREB (10113)	ENSG00000138073	PREB	10113	protein_coding
HIPK3 (10114)	ENSG00000110422	HIPK3	10114	protein_coding
FEM1B (10116)	ENSG00000169018	FEM1B	10116	protein_coding
ENAM (10117)	ENSG00000132464	ENAM	10117	protein_coding
CDH13 (1012)	ENSG00000140945	CDH13	1012	protein_coding
ACTR1B (10120)	ENSG00000115073	ACTR1B	10120	protein_coding
ACTR1A (10121)	ENSG00000138107	ACTR1A	10121	protein_coding
ARL4C (10123)	ENSG00000188042	ARL4C	10123	protein_coding
ARL4A (10124)	ENSG00000122644	ARL4A	10124	protein_coding
RASGRP1 (10125)	ENSG00000172575	RASGRP1	10125	protein_coding
DNAL4 (10126)	ENSG00000100246	DNAL4	10126	protein_coding
ZNF263 (10127)	ENSG00000006194	ZNF263	10127	protein_coding
LRPPRC (10128)	ENSG00000138095	LRPPRC	10128	protein_coding
FRY (10129)	ENSG00000073910	FRY	10129	protein_coding
CDH15 (1013)	ENSG00000129910	CDH15	1013	protein_coding
PDIA6 (10130)	ENSG00000143870	PDIA6	10130	protein_coding
TRAP1 (10131)	ENSG00000126602	TRAP1	10131	protein_coding
OPTN (10133)	ENSG00000123240	OPTN	10133	protein_coding
BCAP31 (10134)	ENSG00000185825	BCAP31	10134	protein_coding
NAMPT (10135)	ENSG00000105835	NAMPT	10135	protein_coding
CELA3A (10136)	ENSG00000142789	CELA3A	10136	protein_coding
RBM12 (10137)	ENSG00000244462	RBM12	10137	protein_coding
YAF2 (10138)	ENSG00000015153	YAF2	10138	protein_coding
ARFRP1 (10139)	ENSG00000101246	ARFRP1	10139	protein_coding
CDH16 (1014)	ENSG00000166589	CDH16	1014	protein_coding
TOB1 (10140)	ENSG00000141232	TOB1	10140	protein_coding
AKAP9 (10142)	ENSG00000127914	AKAP9	10142	protein_coding
CLEC3A (10143)	ENSG00000166509	CLEC3A	10143	protein_coding
FAM13A (10144)	ENSG00000138640	FAM13A	10144	protein_coding
G3BP1 (10146)	ENSG00000145907	G3BP1	10146	protein_coding
SUGP2 (10147)	ENSG00000064607	SUGP2	10147	protein_coding
EBI3 (10148)	ENSG00000105246	EBI3	10148	protein_coding
ADGRG2 (10149)	ENSG00000173698	ADGRG2	10149	protein_coding
CDH17 (1015)	ENSG00000079112	CDH17	1015	protein_coding
MBNL2 (10150)	ENSG00000139793	MBNL2	10150	protein_coding
ABI2 (10152)	ENSG00000138443	ABI2	10152	protein_coding
CEBPZ (10153)	ENSG00000115816	CEBPZ	10153	protein_coding
PLXNC1 (10154)	ENSG00000136040	PLXNC1	10154	protein_coding
TRIM28 (10155)	ENSG00000130726	TRIM28	10155	protein_coding
RASA4 (10156)	ENSG00000105808	RASA4	10156	protein_coding
AASS (10157)	ENSG00000008311	AASS	10157	protein_coding
PDZK1IP1 (10158)	ENSG00000162366	PDZK1IP1	10158	protein_coding
ATP6AP2 (10159)	ENSG00000182220	ATP6AP2	10159	protein_coding
CDH18 (1016)	ENSG00000145526	CDH18	1016	protein_coding
FARP1 (10160)	ENSG00000152767	FARP1	10160	protein_coding
LPAR6 (10161)	ENSG00000139679	LPAR6	10161	protein_coding
LPCAT3 (10162)	ENSG00000111684	LPCAT3	10162	protein_coding
WASF2 (10163)	ENSG00000158195	WASF2	10163	protein_coding
